MaintenanceID,OrdinateurID,Description,Action,DateAction
1,123,Problème matériel,Action à effectuer pour la maintenance,2023-11-01 10:30:00
2,245,Mise à jour logicielle,Action à effectuer pour la maintenance,2023-11-02 14:45:00
3,367,Remplacement disque dur,Action à effectuer pour la maintenance,2023-11-03 09:15:00
4,489,Problème réseau,Action à effectuer pour la maintenance,2023-11-04 13:20:00
5,112,Maintenance préventive,Action à effectuer pour la maintenance,2023-11-05 11:10:00
6,234,Réinstallation du système d'exploitation,Action à effectuer pour la maintenance,2023-11-06 15:30:00
7,356,Mise à jour du firmware,Action à effectuer pour la maintenance,2023-11-07 10:45:00
8,478,Problème d'alimentation,Action à effectuer pour la maintenance,2023-11-08 14:00:00
9,101,Nettoyage interne,Action à effectuer pour la maintenance,2023-11-09 12:00:00
10,223,Installation de logiciels,Action à effectuer pour la maintenance,2023-11-10 09:45:00
11,345,Problème d'affichage,Action à effectuer pour la maintenance,2023-11-11 11:20:00
12,467,Diagnostic complet,Action à effectuer pour la maintenance,2023-11-12 13:50:00
13,122,Ajout de mémoire RAM,Action à effectuer pour la maintenance,2023-11-13 15:15:00
14,244,Problème de sécurité,Action à effectuer pour la maintenance,2023-11-14 09:30:00
15,366,Réparation du clavier,Action à effectuer pour la maintenance,2023-11-01 14:00:00
16,488,Problème audio,Action à effectuer pour la maintenance,2023-11-02 11:45:00
17,111,Configuration réseau,Action à effectuer pour la maintenance,2023-11-03 10:00:00
18,233,Réparation de l'écran,Action à effectuer pour la maintenance,2023-11-04 12:30:00
19,355,Problème de performance,Action à effectuer pour la maintenance,2023-11-05 15:00:00
20,477,Problème de ventilation,Action à effectuer pour la maintenance,2023-11-06 09:45:00
21,123,Problème matériel,Action à effectuer pour la maintenance,2023-11-07 14:15:00
22,245,Mise à jour logicielle,Action à effectuer pour la maintenance,2023-11-08 11:30:00
23,367,Remplacement disque dur,Action à effectuer pour la maintenance,2023-11-09 10:45:00
24,489,Problème réseau,Action à effectuer pour la maintenance,2023-11-10 13:00:00
25,112,Maintenance préventive,Action à effectuer pour la maintenance,2023-11-11 09:15:00
26,234,Réinstallation du système d'exploitation,Action à effectuer pour la maintenance,2023-11-12 15:45:00
27,356,Mise à jour du firmware,Action à effectuer pour la maintenance,2023-11-13 14:00:00
28,478,Problème d'alimentation,Action à effectuer pour la maintenance,2023-11-14 11:15:00
29,101,Nettoyage interne,Action à effectuer pour la maintenance,2023-11-01 10:30:00
30,223,Installation de logiciels,Action à effectuer pour la maintenance,2023-11-02 14:45:00
31,345,Problème d'affichage,Action à effectuer pour la maintenance,2023-11-03 09:15:00
32,467,Diagnostic complet,Action à effectuer pour la maintenance,2023-11-04 13:20:00
33,122,Ajout de mémoire RAM,Action à effectuer pour la maintenance,2023-11-05 11:10:00
34,244,Problème de sécurité,Action à effectuer pour la maintenance,2023-11-06 15:30:00
35,366,Réparation du clavier,Action à effectuer pour la maintenance,2023-11-07 10:45:00
36,488,Problème audio,Action à effectuer pour la maintenance,2023-11-08 14:00:00
37,111,Configuration réseau,Action à effectuer pour la maintenance,2023-11-09 12:00:00
38,233,Réparation de l'écran,Action à effectuer pour la maintenance,2023-11-10 09:45:00
39,355,Problème de performance,Action à effectuer pour la maintenance,2023-11-11 11:20:00
40,477,Problème de ventilation,Action à effectuer pour la maintenance,2023-11-12 13:50:00
41,123,Problème matériel,Action à effectuer pour la maintenance,2023-11-13 15:15:00
42,245,Mise à jour logicielle,Action à effectuer pour la maintenance,2023-11-14 09:30:00
43,367,Remplacement disque dur,Action à effectuer pour la maintenance,2023-11-01 14:00:00
44,489,Problème réseau,Action à effectuer pour la maintenance,2023-11-02 11:45:00
45,112,Maintenance préventive,Action à effectuer pour la maintenance,2023-02-20 12:20:00
